filename,class_name,class_id,original_capture_folder,shot_by,annotated_by,split,num_boxes,is_pruned,canonical_reference,prune_reason,meta_cluster
001_azn_00063.jpg,001_azn,0,Avaz1/1 azn/Mekan_04,avaz1,avaz,train,1,False,001_azn_00063.jpg,retained,32
001_azn_00064.jpg,001_azn,0,Avaz1/1 azn/Mekan_04,avaz1,avaz,train,1,False,001_azn_00064.jpg,retained,32
001_azn_00065.jpg,001_azn,0,Avaz1/1 azn/Mekan_04,avaz1,avaz,train,1,False,001_azn_00065.jpg,retained,32
001_azn_00066.jpg,001_azn,0,Avaz1/1 azn/Mekan_04,avaz1,avaz,train,1,False,001_azn_00066.jpg,retained,32
001_azn_00067.jpg,001_azn,0,Avaz1/1 azn/Mekan_04,avaz1,avaz,train,1,False,001_azn_00067.jpg,retained,32
001_azn_00068.jpg,001_azn,0,Avaz1/1 azn/Mekan_04,avaz1,avaz,train,1,False,001_azn_00068.jpg,retained,32
001_azn_00069.jpg,001_azn,0,Avaz1/1 azn/Mekan_04,avaz1,avaz,train,1,False,001_azn_00069.jpg,retained,32
001_azn_00070.jpg,001_azn,0,Avaz1/1 azn/Mekan_04,avaz1,avaz,train,1,False,001_azn_00070.jpg,retained,32
001_azn_00071.jpg,001_azn,0,Avaz1/1 azn/Mekan_04,avaz1,avaz,train,1,False,001_azn_00071.jpg,retained,32
001_azn_00072.jpg,001_azn,0,Avaz1/1 azn/Mekan_04,avaz1,avaz,train,1,False,001_azn_00072.jpg,retained,32
001_azn_00073.jpg,001_azn,0,Avaz1/1 azn/Mekan_04,avaz1,avaz,train,1,False,001_azn_00073.jpg,retained,32
001_azn_00074.jpg,001_azn,0,Avaz1/1 azn/Mekan_04,avaz1,avaz,train,1,False,001_azn_00074.jpg,retained,32
001_azn_00200.jpg,001_azn,0,Gulnar/random/1/Mekan_01,gulnar,avaz,val,2,False,001_azn_00200.jpg,retained,3
001_azn_00201.jpg,001_azn,0,Gulnar/random/1/Mekan_01,gulnar,avaz,val,2,False,001_azn_00201.jpg,retained,3
001_azn_00202.jpg,001_azn,0,Gulnar/random/1/Mekan_01,gulnar,avaz,val,2,False,001_azn_00202.jpg,retained,3
001_azn_00203.jpg,001_azn,0,Gulnar/random/1/Mekan_01,gulnar,avaz,val,2,False,001_azn_00203.jpg,retained,3
001_azn_00204.jpg,001_azn,0,Gulnar/random/1/Mekan_01,gulnar,avaz,val,1,False,001_azn_00204.jpg,retained,3
001_azn_00205.jpg,001_azn,0,Gulnar/random/1/Mekan_01,gulnar,avaz,val,1,False,001_azn_00205.jpg,retained,3
001_azn_00206.jpg,001_azn,0,Gulnar/random/1/Mekan_01,gulnar,avaz,val,2,False,001_azn_00206.jpg,retained,3
001_azn_00207.jpg,001_azn,0,Gulnar/random/1/Mekan_01,gulnar,avaz,val,1,False,001_azn_00207.jpg,retained,3
001_azn_00208.jpg,001_azn,0,Gulnar/random/1/Mekan_01,gulnar,avaz,val,1,False,001_azn_00208.jpg,retained,3
001_azn_00209.jpg,001_azn,0,Gulnar/random/1/Mekan_01,gulnar,avaz,val,1,False,001_azn_00209.jpg,retained,3
001_azn_00210.jpg,001_azn,0,Gulnar/random/1/Mekan_01,gulnar,avaz,val,1,False,001_azn_00210.jpg,retained,3
001_azn_00211.jpg,001_azn,0,Gulnar/random/1/Mekan_01,gulnar,avaz,val,1,False,001_azn_00211.jpg,retained,3
